month,units
Jan,157.45
Feb,172.93
Mar,203.02
Apr,222.85
May,189.79
Jun,171.49
Jul,173.69
Aug,136.51
Sep,99.66
Oct,108.14
Nov,99.75
Dec,118.01
Jan,153.63
Feb,146.3
Mar,167.43
Apr,191.57
May,178.11
Jun,179.71
Jul,136.38
Aug,103.82
Sep,128.68
Oct,438.77
Nov,107.71
Dec,103.63
Jan,141.83
Feb,176.66
Mar,176.04
Apr,205.64
May,184.29
Jun,170.62
Jul,398.84
Aug,152.78
Sep,106.5
Oct,84.13
Nov,119.04
Dec,106.69
Jan,153.13
Feb,145.6
Mar,173.38
Apr,469.3
May,204.38
Jun,177.57
Jul,448.75
Aug,120.48
Sep,84.52
Oct,89.2
Nov,99.79
Dec,140.86
Jan,155.15
Feb,148.55
Mar,198.16
Apr,194.22
May,183.15
Jun,184.18
Jul,165.46
Aug,138.97
Sep,94.11
Oct,95.36
Nov,111.67
Dec,139.63
Jan,142.81
Feb,172.22
Mar,176.71
Apr,182.06
May,205.49
Jun,195.34
Jul,148.92
Aug,398.23
Sep,112.12
Oct,90.32
Nov,112.12
Dec,148.07
Jan,149.46
Feb,198.47
Mar,154.01
Apr,212.33
May,194.61
Jun,170.51
Jul,151.38
Aug,95.19
Sep,103.4
Oct,105.36
Nov,128.87
Dec,117.23
Jan,137.87
Feb,167.47
Mar,481.16
Apr,472.67
May,185.35
Jun,182.7
Jul,151.46
Aug,139.53
Sep,96.17
Oct,357.3
Nov,100.82
Dec,103.05
Jan,154.44
Feb,178.92
Mar,193.38
Apr,196.48
May,172.07
Jun,168.69
Jul,436.73
Aug,418.34
Sep,104.28
Oct,106.06
Nov,134.99
Dec,127.62
Jan,153.86
Feb,173.88
Mar,164.52
Apr,199.6
May,194.2
Jun,558.85
Jul,147.11
Aug,129.52
Sep,106.18
Oct,82.47
Nov,123.84
Dec,136.28
Jan,161.87
Feb,161.36
Mar,214.34
Apr,178.97
May,202.1
Jun,207.86
Jul,135.14
Aug,116.51
Sep,108.19
Oct,92.45
Nov,83.44
Dec,126.03
Jan,134.07
Feb,182.1
Mar,179.51
Apr,223.25
May,181.55
Jun,562.84
Jul,453.47
Aug,106.54
Sep,110.11
Oct,119.61
Nov,82.59
Dec,127.77
Jan,153.9
Feb,186.73
Mar,174.75
Apr,180.19
May,201.13
Jun,567.53
Jul,153.76
Aug,130.2
Sep,96.5
Oct,103.48
Nov,111.09
Dec,114.28
Jan,177.99
Feb,182.11
Mar,175.43
Apr,209.85
May,178.68
Jun,529.31
Jul,167.38
Aug,112.69
Sep,121.15
Oct,106.19
Nov,119.03
Dec,153.45
Jan,146.32
Feb,163.69
Mar,179.96
Apr,510.62
May,192.14
Jun,180.12
Jul,154.15
Aug,137.41
Sep,106.89
Oct,121.8
Nov,389.63
Dec,165.8
Jan,159.39
Feb,162.14
Mar,177.24
Apr,207.24
May,189.95
Jun,185.71
Jul,157.1
Aug,123.91
Sep,94.0
Oct,77.28
Nov,100.0
Dec,137.85
Jan,153.21
Feb,156.31
Mar,195.9
Apr,205.78
May,553.69
Jun,177.31
Jul,150.87
Aug,107.86
Sep,112.07
Oct,108.41
Nov,122.94
Dec,425.27
Jan,528.99
Feb,160.93
Mar,484.81
Apr,207.71
May,201.03
Jun,232.79
Jul,158.56
Aug,142.03
Sep,545.72
Oct,109.77
Nov,101.97
Dec,421.79
Jan,138.41
Feb,171.45
Mar,186.02
Apr,201.23
May,228.02
Jun,146.99
Jul,160.29
Aug,100.81
Sep,99.62
Oct,116.33
Nov,107.66
Dec,108.83
Jan,139.27
Feb,185.19
Mar,182.35
Apr,203.25
May,193.98
Jun,165.23
Jul,182.16
Aug,134.51
Sep,333.66
Oct,102.8
Nov,96.77
Dec,137.79
Jan,138.11
Feb,548.86
Mar,200.88
Apr,622.87
May,175.3
Jun,169.98
Jul,431.33
Aug,115.2
Sep,133.18
Oct,106.07
Nov,411.88
Dec,138.77
Jan,181.83
Feb,619.53
Mar,170.51
Apr,192.74
May,611.8
Jun,164.38
Jul,156.66
Aug,136.62
Sep,92.79
Oct,99.11
Nov,58.08
Dec,109.63
Jan,146.21
Feb,156.28
Mar,217.79
Apr,178.55
May,186.7
Jun,176.96
Jul,171.62
Aug,454.15
Sep,124.15
Oct,100.15
Nov,397.69
Dec,131.93
Jan,152.99
Feb,166.0
Mar,194.35
Apr,194.22
May,195.0
Jun,184.93
Jul,173.79
Aug,106.43
Sep,549.93
Oct,70.72
Nov,104.42
Dec,133.82
Jan,154.21
Feb,489.44
Mar,190.18
Apr,626.78
May,184.46
Jun,187.74
Jul,155.36
Aug,114.61
Sep,120.19
Oct,104.61
Nov,118.89
Dec,134.44
